,negative_words
0,kém
1,tệ
2,buồn
3,chán
4,không dễ chịu
5,không chất lượngkém chất lượng
6,không thích
7,không ổn
8,không hợp
9,không đáng tin cậy
10,không chuyên nghiệp
11,không phản hồi
12,không an toàn
13,không phù hợp
14,không thân thiện
15,không linh hoạt
16,không đáng giá
17,không ấn tượng
18,không tốt
19,chậm
20,khó khăn
21,phức tạp
22,khó chịu
23,gây khó dễ
24,rườm rà
25,thất bại
26,tồi tệ
27,khó xử
28,không thể chấp nhận
29,tồi tệ
30,không rõ ràng
31,không chắc chắn
32,rối rắm
33,không tiện lợi
34,không đáng tiền
35,không hài lòng
36,không đáng
37,quá tệ
38,rất tệ
39,thất vọng
40,chán
41,tệ hại
42,kinh khủng
43,không ưng ý
44,tệ
45,kém
46,xấu
47,dở
48,không tốt
49,không ổn
50,thất vọng
51,chán
52,không hài lòng
53,không hiệu quả
54,vô dụng
55,thất bại
56,tồi tệ
57,kinh khủng
58,không đáng
59,không uy tín
60,không quay lại
61,không hiệu quả
62,yếu
63,kém
64,chậm
65,không rõ rệt
66,không bền
67,nhanh hỏng
68,không ổn định
69,không đáng tin cậy
70,không an toàn
71,gây hại
72,kích ứng
73,mẫn cảm
74,khô
75,nứt nẻ
76,mẩn đỏ
77,ngứa
78,rít
79,bết dính
80,không đều màu
81,xỉn màu
82,mờ nhạt
83,không mịn màng
84,không tươi trẻ
85,lão hóa
86,tổn thương
87,không tự nhiên
88,hôi
89,khó chịu
90,nồng
91,gắt
92,không dễ chịu
93,nhạt nhòa
94,không tự nhiên
95,đặc quánh
96,dính
97,bết
98,khô cứng
99,không đều
100,lỗn nhỗn
101,không mịn màng
102,không dễ tán
103,xỉn màu
104,không đều màu
105,nhợt nhạt
106,già
107,không tự nhiên
108,xấu xí
109,lỗi thời
110,kém chất lượng
111,không tiện dụng
112,khó sử dụng
