,positive_words
0,thích
1,tốt
2,xuất sắc
3,tuyệt vời
4,ổn
5,hài lòng
6,ưng ý
7,hoàn hảo
8,chất lượng
9,nhanh
10,tiện lợi
11,dễ sử dụng
12,hiệu quả
13,ấn tượng
14,nổi bật
15,thân thiện
16,dễ dàng
17,thoải mái
18,cao cấp
19,độc đáo
20,rất tốt
21,rất thích
22,tận tâm
23,đáng tin cậy
24,đẳng cấp
25,hấp dẫn
26,an tâm
27,thúc đẩy
28,cảm động
29,phục vụ tốt
30,làm hài lòng
31,gây ấn tượng
32,nổi trội
33,sáng tạo
34,phù hợp
35,tận tâm
36,hiếm có
37,cải thiện
38,hoà nhã
39,chăm chỉ
40,cẩn thận
41,vui vẻ
42,sáng sủa
43,hào hứng
44,đam mê
45,vừa vặn
46,đáng tiềntuyệt vời
47,hoàn hảo
48,tuyệt đẹp
49,tuyệt vời
50,ấn tượng
51,đáng kinh ngạc
52,phi thường
53,độc đáo
54,đáng yêu
55,quyến rũ
56,lôi cuốn
57,hấp dẫn
58,mê hoặc
59,lãng mạn
60,sang trọng
61,thanh lịch
62,dễ sử dụng
63,uy tínhiệu quả
64,nhanh chóng
65,tức thì
66,rõ rệt
67,đáng kể
68,bền vững
69,lâu dài
70,tối ưu
71,hoàn hảo
72,chuyên nghiệp
73,đáng tin cậy
74,an toàn
75,lành tính
76,thân thiện
77,mềm mại
78,dịu nhẹ
79,sảng khoái
80,tươi mát
81,thoải mái
82,thư giãnmịn màng
83,mượt mà
84,đầy đặn
85,căng bóng
86,rạng rỡ
87,tươi trẻ
88,trẻ trung
89,sáng khỏe
90,min mặc
91,không tì vết
92,tỏa sáng
93,hấp dẫn
94,quyến rũ
95,tự tin
96,hạnh phúc
97,thơm ngát
98,quyến rũ
99,hấp dẫn
100,dịu nhẹ
101,thoang thoảng
102,sang trọng
103,tinh tế
104,tươi mát
105,mát lạnh
106,ấm áp
107,mềm mịn
108,mượt mà
109,dễ chịu
110,thoáng mát
111,không nhờn rít
112,nhẹ nhàng
113,tơi xốp
114,đầy đặn
115,bổ dưỡng
116,ẩm
117,tươi sáng
118,rực rỡ
119,tráng lệ
120,thanh lịch
121,tinh tế
122,tự nhiên
123,nổi bật
124,quyến rũ
125,sang trọng
126,hiện đại
127,độc đáo
128,tinh tế
129,bền đẹp
130,tiện lợi
